idproducto,titulo,descripcion,fecha_inicio,fecha_termino,precio,imagen,vendidos,tags,,,,
21,Maleta de viaje con closet CLOSMAGIC 50%,"<p>¿Al salir de viaje eres de los que amontonan todo cuando desempaca? Olvídate de eso con el práctico CLOSMAGIC, una maleta de viaje con clóset que te permitirá mantener todo en orden.<br></p>",2016-10-03 00:00:00,2016-10-23 23:59:00,61534,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33205/475770851fb936cc7924f6000bfc6cb2661e8ca2.full.jpg,92,"Maleta,equipaje ,CLOSET ,VIAJE",,,,
22,Tepotzotlán y Arcos del Sitio ¡Ofrenda Monumental!  ,"<p>En el marco de los festejos por el Día de Muertos en Tepotzotlán, se exhibirá una Ofrenda Monumental, donde disfrutarás de la tradición mexicana de una manera única y muy especial con actividades recreativas para toda la familia.<br></p><br><p>

¡Sigue la Tradición Mexicana!</p>",2016-10-03 00:00:00,2016-10-27 23:59:00,83691,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33383/99a696e5ba2510766c2bf54b8eb7a9f4edf2cdf2.full.jpg,37,"tepotzotlan,arcos del sitio,tour 1 día,centro ecoturístico,pueblo mágico",,,,
23,"Tlalpujahua ¡Pueblo Mágico de Michoacán, te cautivará! ","<br><p>Tlalpujahua atrapa con los secretos que guardan sus calles y minas. Es un pueblo enclavado en las montañas, donde se respira un aire puro y fresco. Sus calles empedradas están enmarcadas por comercios donde se venden todo tipo de artesanías: desde esferas, artículos navideños y elementos decorativos, hasta cuadros de arte plumario, alfarería y fuentes de cantera.<br>

Antiguo e importante pueblo minero, hoy en día El Oro conserva un encanto natural que sigue atrayendo al turismo. Con su Teatro Juárez, una joya de estilo neoclásico francés, y el mural del Palacio de Gobierno con influencia del art nouveau, atrae las miradas de los visitantes, quienes se internan en sus calles empedradas deseosos de saber un poco más de su historia y su interesante pasado.</p><p><br>

¡Pintoresca escapada a 2 Pueblos Mágicos, 1 en Michoacán otro en Edo. Mex!</p>",2016-10-03 00:00:00,2016-11-17 23:59:00,41423,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33376/10a914a5bb7b5dcbc5208562f5541a0cfe0f23ad.full.jpg,79,"pueblos mágicos,tlalpujahua,el oro,michoacan,tour 1 dia,autobus,guia",,,,
24,Tajín y Tecolutla ¡Ruta de la Vainilla! Tour 1D c/transporte,"<p>En medio de la selva, rodeada por el verde de los árboles y el azul del cielo, se alzan diversos edificios que conforman El Tajín, lo que alguna vez fue la capital de los totonacas.</p><p>Las estructuras de El Tajín conforman una de las metrópolis más importantes del área costera, cuya ubicación estratégica la posicionó como dentro de una importante ruta comercial que conectaba al Golfo de México con la zona centro del país. Cuenta con múltiples construcciones que, durante años, han causado la admiración de propios y extraños como templos, palacios y varias canchas de juego de pelota.</p><p>Tecolutla, conjugando en su nombre toda una serie de lugares paradisíacos, el estado de Veracruz es en sí mismo, una entidad turística y cultural única en su género.</p><p>

¡Un tour arqueológico inolvidable!</p>",2016-10-03 00:00:00,2016-11-17 23:59:00,83911,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33380/0b02bf9eaf26fd8afa59def89191b27ee52615c9.full.jpg,76,"Tajín,Tecolutla,Tour 1 día,Veracruz,ruta de la vainilla,guia,autobus",,,,
25,Hacienda Panoaya ¡Un mundo de diversión para la familia!,"<p>Un Mundo de Diversión y Cultura para Toda la Familia.  <br></p><p>El Parque de los Venados Acariciables con venados, llamas, emús, puerquitos, borregos, cabras, un dromedario y muchos más&nbsp;

y todos comen de tu mano. La Tirolesa Alpina, en la que volarás 200 metros desde 12 metros de altura. La Alberca &nbsp;Semiolímpica. El Lago Panoaya en donde podrás pasear en lancha de pedales. El Aviario con cientos de pajaritos que comerán &nbsp;de tu mano. El emocionante Espectáculo de Águilas, Serpientes y Felinos con animales fabulosos y un cachorro de tigre o jaguar con los que te podrás tomar una fotografía. El Laberinto Inglés para perderte en más de 5,000 metros cuadrados. La refrescante Fiesta de Espuma en la que quedarás cubierto de espuma fresca y blanca. Además, muchas otras interesantes y divertidas &nbsp;atracciones.</p><p><br></p><p><br>

¡Diversión y cultura para toda la familia!</p>",2016-10-03 00:00:00,2016-11-21 23:59:00,36593,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33241/c9c26efb7e99b91a10fef80f0014c14d1a1aab17.full.jpg,36,"hacienda ,panoaya,parque,tour 1 dia,actividades familiares,fin de",,,,
26,San Jose Costa Rica ,"<p>Atención a clientes Travelinn

</p>

<p>México	Otros países

</p><p>01 (800) 849-4974

</p><p>Sin costo	+52 (9982) 832-254

</p><p>Paquete Ciudad de México – San José

</p>

<p>hotel	

</p><p>Cocoon Hotel

</p>



<p>Calle Central Av 9, San Jose, San José, Costa Rica

</p><p>Teléfono:  506 (2) 256-6426 Fax:  ()

</p><p>Estancia	Huéspedes	Habitación y plan	Confirmación

</p><p>Llegada: mar, 18 oct 2016

</p><p>Salida: lun, 24 oct 2016

</p><p>Noches: 6

</p><p>1 adulto, sin menores

</p><p>Standard Room (with A/C)

</p><p>Sin alimentos

</p><p>Hora de entrada: 14:00

</p><p>Hora de salida: 12:00

</p><p>#132205402884

</p><p>Reservado para: Maricela Ronquillo Hernandez

</p><p>Peticiones especiales: Ninguna 

</p><p>Promociones aplicadas:  Qué incluye: Descuento por reserva inmediata

</p><p>Términos y condiciones

</p><p>Condiciones de cancelación para Cocoon Hotel:	

</p><p>Si cancelas 15 días o más antes de la fecha de llegada - 10% de penalidad

</p><p>Si cancelas 4 a 14 días antes de la fecha de llegada - 2 noches de penalidad

</p><p>Si cancelas 0 a 3 días antes de la fecha de llegada - 100% de penalidad

</p><p>Si la habitación está marcada como no cancelable, no reembolsable o similar, aplica una penalidad del 100% sin importar la fecha en que solicita la cancelación.

</p><p>En caso de que tengas que irte del hotel antes de que termine tu estancia (salida anticipada), o no te presentes al hotel (conocido como no show) se considera como cancelación y no aplican reembolsos. Si reduces el número de huéspedes una vez pagada la reservación, es decisión del hotel aplicar penalidades o reembolsos.

</p>

<p>vuelo	

</p><p>Vuelo Ciudad de México – San José – Ciudad de México

</p>

<p>Vuelo MEX - SJO , mar 18 oct 2016 , sin escalas

</p><p>Interjet Vuelo 3920. Confirmación: O2HFPB

</p><p>&nbsp;Sale: 09:45hrs

</p><p>(MEX) Mexico City

</p><p>Llega: 11:40hrs

</p><p>(SJO) San Jose

</p><p>Tiempo de vuelo: 

</p><p>1hr 55min

</p><p>Asientos: Solicitar en el aeropuerto

</p><p>Vuelo SJO - MEX , lun 24 oct 2016 , sin escalas

</p><p>Interjet Vuelo 3921. Confirmación: O2HFPB

</p><p>&nbsp;Sale: 12:40hrs

</p><p>(SJO) San Jose

</p><p>Llega: 16:50hrs

</p><p>(MEX) Mexico City

</p><p>Tiempo de vuelo: 

</p><p>4hr 10min

</p><p>Asientos: Solicitar en el aeropuerto

</p><p>Lista de pasajeros

</p><p>MRS Maricela Ronquillo Hernandez (adulto)

</p><p>Para que llegues a tiempo

</p><p>?CustomInfoFlight_SkyChannel

</p><p>Contacto de emergencia

</p>

<p>MRS Paola Olivares Sarabia

</p><p>+525554483713

</p><p>Tarifa paquete: $ 10,565 MXN

</p><p>Traslado	

</p><p>Traslado aeropuerto – hotel – aeropuerto

</p>



<p>Servicio Compartido Van

</p><p>Servicio operado por MARBELLA TOURS

</p><p>Reservado para Maricela Ronquillo Hernandez

</p><p>Traslado	Pasajeros	Origen	Destino	Vuelo	Confirmación

</p><p>Ida: mar, 18 oct 2016	Total: 1 pasajero

</p><p>San José (SJO)	Cocoon Hotel	Interjet vuelo 3920 llega 11:40am	1.0.0-1810-BG

</p><p>Regreso: lun, 24 oct 2016	Total: 1 pasajero

</p><p>Cocoon Hotel	San José (SJO)	Interjet vuelo 3921 sale 12:40pm	1.0.0-1810-BG

</p><p>Para tomar el transporte

</p><p>Al descender del avión, deberás pasar a migración (para vuelos internacionales), recoger tu equipaje y revisión de aduana. Este proceso puede tomar, desde 25 hasta 30 minutos según el número de vuelos llegando al mismo tiempo. A la salida de la sala de llegadas, te esperará un representante con un letrero ( BANNER ) de ALFFA TOURS quien ESTARA DEBIDAMENTE UNIFORMADO CON CAMISA TURQUESA Y LOGOTIPO DE NUESTRA EMPRESA Y PANTALON AZUL , este funcionario te dará la bienvenida , ayudara con tu equipaje y te acompañará al vehículo que te llevará a tu hotel asignado.

</p>

<p>Independientemente que ALFFA TOURS tiene tu información de vuelo y que estarán monitoreándolo, es tu responsabilidad de notificarles si hay alguna demora o cambio en tu vuelo de llegada para asegurar que tu transporte terrestre sea modificado de manera correspondiente. También si compraste transportación IDA Y REGRESO, es necesario confirmar la hora que te llevarán al aeropuerto, por favor utiliza la misma información de contacto. 

</p>

<p>CONTACTO OFICINA SAN JOSE: + (506) 2222 0101 EMERGENCIAS AL CELULAR: + (506) 8870 6740 O EMAIL A: ventas@marbellatours.com

</p>

<p>Tarifa traslado: $ 1,434.97 MXN

</p><p>Total reservación:	$ 12,000.00

</p><p>Pagado:	$12,000.00</p>",2016-10-04 00:00:00,2016-10-04 23:59:00,85158,NULL,11,san jose costa rica,,,,
27,Hotel Queretaro - Yoenny Leon Fernandez ,"<p>Grand Fiesta Americana Querétaro

</p>



<p>Blvr Bernardo Quintana Arrioja 4050, Col Álamos, Queretaro, Querétaro, México

</p><p>Teléfono:  52 (443) 113-1365 Fax:  ()

</p><p>Estancia	Huéspedes	Habitación y plan	Confirmación

</p><p>Llegada: sab, 22 oct 2016

</p><p>Salida: dom, 23 oct 2016

</p><p>Noches: 1

</p><p>2 adultos, sin menores

</p><p>De lujo

</p><p>Sin alimentos

</p><p>Hora de entrada: 15:00

</p><p>Hora de salida: 12:00

</p><p>72649355

</p><p>Reservado para: Yoenny Leon Fernandez

</p><p>Peticiones especiales: Ninguna 

</p><p>Promociones aplicadas: 30% de descuento Qué incluye: obtén 30% de descuento.

</p><p>Términos y condiciones

</p><p>Condiciones de cancelación para Grand Fiesta Americana Querétaro:	

</p><p>Si cancelas 15 días o más antes de la fecha de llegada - 10% de penalidad

</p><p>Si cancelas 3 a 14 días antes de la fecha de llegada - 2 noches de penalidad

</p><p>Si cancelas 0 a 2 días antes de la fecha de llegada - 100% de penalidad

</p><p>Si la habitación está marcada como no cancelable, no reembolsable o similar, aplica una penalidad del 100% sin importar la fecha en que solicita la cancelación.

</p><p>En caso de que tengas que irte del hotel antes de que termine tu estancia (salida anticipada), o no te presentes al hotel (conocido como no show) se considera como cancelación y no aplican reembolsos. Si reduces el número de huéspedes una vez pagada la reservación, es decisión del hotel aplicar penalidades o reembolsos.

</p>

<p>Tarifa Hotel: $ 1,855.75 MXN

</p><p>Total reservación:	$ 1,855.75

</p><p>Pagado:	$1,855.75

</p><p>Saldo MXN:	$0.00</p><br><p>City Express Suites Querétaro

</p>



<p>Av 5 de febrero 9852, Fracc Industrial Benito Juárez Zona Jurica, Queretaro, Querétaro, México

</p><p>Teléfono:  442 (103) 1700 Fax:  ()

</p><p>Estancia	Huéspedes	Habitación y plan	Confirmación

</p><p>Llegada: vie, 21 oct 2016

</p><p>Salida: sab, 22 oct 2016

</p><p>Noches: 1

</p><p>2 adultos, sin menores

</p><p>Suite de 1 recámara

</p><p>Desayuno continental

</p><p>Hora de entrada: 15:00

</p><p>Hora de salida: 13:00

</p><p>6502340

</p><p>Reservado para: Yoenny Leon Fernandez

</p><p>Peticiones especiales: Ninguna

</p><p>Términos y condiciones

</p><p>Condiciones de cancelación para City Express Suites Querétaro:	

</p><p>Si cancelas 15 días o más antes de la fecha de llegada - 10% de penalidad

</p><p>Si cancelas 3 a 14 días antes de la fecha de llegada - 2 noches de penalidad

</p><p>Si cancelas 0 a 2 días antes de la fecha de llegada - 100% de penalidad

</p><p>Si la habitación está marcada como no cancelable, no reembolsable o similar, aplica una penalidad del 100% sin importar la fecha en que solicita la cancelación.

</p><p>En caso de que tengas que irte del hotel antes de que termine tu estancia (salida anticipada), o no te presentes al hotel (conocido como no show) se considera como cancelación y no aplican reembolsos. Si reduces el número de huéspedes una vez pagada la reservación, es decisión del hotel aplicar penalidades o reembolsos.

</p>

<p>Tarifa Hotel: $ 989.11 MXN

</p><p>Total reservación:	$ 989.11

</p><p>Pagado:	$989.11

</p><p>Saldo MXN:	$0.00

</p><p>Ver historial de pagos</p>",2016-10-04 00:00:00,2016-10-04 23:59:00,8755,NULL,85,,,,,
28,Traslado Daniel Lobo San Jose ,"<p>Grand Fiesta Americana Querétaro

</p>



<p>Blvr Bernardo Quintana Arrioja 4050, Col Álamos, Queretaro, Querétaro, México

</p><p>Teléfono:  52 (443) 113-1365 Fax:  ()

</p><p>Estancia	Huéspedes	Habitación y plan	Confirmación

</p><p>Llegada: sab, 22 oct 2016

</p><p>Salida: dom, 23 oct 2016

</p><p>Noches: 1

</p><p>2 adultos, sin menores

</p><p>De lujo

</p><p>Sin alimentos

</p><p>Hora de entrada: 15:00

</p><p>Hora de salida: 12:00

</p><p>72649355

</p><p>Reservado para: Yoenny Leon Fernandez

</p><p>Peticiones especiales: Ninguna 

</p><p>Promociones aplicadas: 30% de descuento Qué incluye: obtén 30% de descuento.

</p><p>Términos y condiciones

</p><p>Condiciones de cancelación para Grand Fiesta Americana Querétaro:	

</p><p>Si cancelas 15 días o más antes de la fecha de llegada - 10% de penalidad

</p><p>Si cancelas 3 a 14 días antes de la fecha de llegada - 2 noches de penalidad

</p><p>Si cancelas 0 a 2 días antes de la fecha de llegada - 100% de penalidad

</p><p>Si la habitación está marcada como no cancelable, no reembolsable o similar, aplica una penalidad del 100% sin importar la fecha en que solicita la cancelación.

</p><p>En caso de que tengas que irte del hotel antes de que termine tu estancia (salida anticipada), o no te presentes al hotel (conocido como no show) se considera como cancelación y no aplican reembolsos. Si reduces el número de huéspedes una vez pagada la reservación, es decisión del hotel aplicar penalidades o reembolsos.

</p>

<p>Tarifa Hotel: $ 1,855.75 MXN

</p><p>Total reservación:	$ 1,855.75

</p><p>Pagado:	$1,855.75

</p><p>Saldo MXN:	$0.00</p><br><p>City Express Suites Querétaro

</p>



<p>Av 5 de febrero 9852, Fracc Industrial Benito Juárez Zona Jurica, Queretaro, Querétaro, México

</p><p>Teléfono:  442 (103) 1700 Fax:  ()

</p><p>Estancia	Huéspedes	Habitación y plan	Confirmación

</p><p>Llegada: vie, 21 oct 2016

</p><p>Salida: sab, 22 oct 2016

</p><p>Noches: 1

</p><p>2 adultos, sin menores

</p><p>Suite de 1 recámara

</p><p>Desayuno continental

</p><p>Hora de entrada: 15:00

</p><p>Hora de salida: 13:00

</p><p>6502340

</p><p>Reservado para: Yoenny Leon Fernandez

</p><p>Peticiones especiales: Ninguna

</p><p>Términos y condiciones

</p><p>Condiciones de cancelación para City Express Suites Querétaro:	

</p><p>Si cancelas 15 días o más antes de la fecha de llegada - 10% de penalidad

</p><p>Si cancelas 3 a 14 días antes de la fecha de llegada - 2 noches de penalidad

</p><p>Si cancelas 0 a 2 días antes de la fecha de llegada - 100% de penalidad

</p><p>Si la habitación está marcada como no cancelable, no reembolsable o similar, aplica una penalidad del 100% sin importar la fecha en que solicita la cancelación.

</p><p>En caso de que tengas que irte del hotel antes de que termine tu estancia (salida anticipada), o no te presentes al hotel (conocido como no show) se considera como cancelación y no aplican reembolsos. Si reduces el número de huéspedes una vez pagada la reservación, es decisión del hotel aplicar penalidades o reembolsos.

</p>

<p>Tarifa Hotel: $ 989.11 MXN

</p><p>Total reservación:	$ 989.11

</p><p>Pagado:	$989.11

</p><p>Saldo MXN:	$0.00

</p><p>Ver historial de pagos</p>",2016-10-04 00:00:00,2016-10-04 23:59:00,20012,NULL,22,,,,,
29,"Tajín y Tecolutla ¡ÚLTIMOS LUGARES, 09 OCTUBRE 399MXN!","<p>En medio de la selva, rodeada por el verde de los árboles y el azul del cielo, se alzan diversos edificios que conforman El Tajín, lo que alguna vez fue la capital de los totonacas. Se encuentra en la parte norte de Veracruz a pocos kilómetros del Pueblo Mágico de Papantla.</p><p>Se cree que el nombre El Tajín significa “ciudad del trueno”, haciendo alusión a un antiguo dios a quien le solicitaban lluvias. Hoy en día es reconocida como Patrimonio mundial por la UNESCO debido a la belleza de sus construcciones y a la importancia histórica y cultural que aporta al país.&nbsp;</p><p>¡Explórala y sorpréndete con sus pirámides y monumentos dedicados al dios-trueno!

</p>

<p>Tecolutla, conjugando en su nombre toda una serie de lugares paradisíacos, el estado de Veracruz es en sí mismo, una entidad turística y cultural única en su género, en donde podremos pasar una linda tarde en la playa y comiendo a la orilla del mar.

</p>



<p>¡El maravilloso estado de Veracruz te sorprende con un destino lleno de belleza natural!

</p><br>",2016-10-04 00:00:00,2016-10-06 23:59:00,66535,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33429/bd7f230d5a621af6a7e89b79a917baa849612dcc.full.jpg,56,"tecolutla,tajin,playa,zona ,arqueologica,piramides",,,,
30,"2x1 Homenaje a JUAN GABRIEL ¡Musica en Vivo, Mariachi y Más!","<p><strong>Juan Gabriel</strong> cantautor, actor, compositor, intérprete, músico, productor discográfico y filántropo mexicano, conocido también con el apodo de <strong>«el divo de Juárez»</strong>.&nbsp;</p><p>Las espectaculares voces de Jessica Diaz, Rhene Liceaga ""La Academia"", Diana Santos ""La Academia"", Alfonso Soto ""Como dice el Dicho"" acompañados del Mariachi Alma 1000 y el Ballet Folklórico Gala de México rinde homenaje a este Grande.</p><p>¡No te lo puedes perder!</p>",2016-10-04 00:00:00,2016-10-07 23:59:00,89141,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33419/65e998c34359f8ddeffad5a937c4330011842299.full.png,73,"homenaje,juan,gabriel,musica,eventos",,,,
31,Brasileiríssimo: Rodizio + de 10 Cortes y Barra de Ensalada,"<p>Conoce la cultura brasileña a través de su comida, en Brasileiríssimo nos especializamos en darte un tour por Brasil ¿Cómo lo hace? Fácil, retoma las costumbres y sabores de las churrasquerías brasileñas basándose el tradicional servicio tipo Rodizio que ofrece 15 cortes de carnes asadas al carbón en espadas.</p><p>¡Siente la vibra carioca rodeado de mucha, mucha comida!</p><br>",2016-10-04 00:00:00,2016-10-08 23:59:00,99970,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33395/3313f360df475f71e825d3934d4755217c2107a9.full.png,80,"rodizio,brasileiríssimo",,,,
32,Almacenados ¡La conciencia de los perdedores! 50%,"<p>Después de veintinueve años de trabajar en un almacén, el señor Lino será jubilado; Nin, un joven inexperto ocupará su lugar y tendrán que pasar cinco días juntos en el inmenso almacén vacío, donde aparentemente nunca pasa nada. La desesperación de la espera, el conflicto generacional y el peso de una gran mentira. Todo esto irá forjando entre ellos un vínculo inquebrantable, algo que los unirá para siempre: la conciencia de los perdedores.</p><p>Elenco:</p><p></p><ul><li>Héctor Bonilla</li><li>Sergio Bonilla</li></ul><p></p>",2016-10-04 00:00:00,2016-10-09 23:59:00,7256,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33424/764c07de55c2a91700542f74f96a3f46454ecc0f.full.png,70,"obra,teatro,almacenados",,,,
33,Made in México Ganadora Mejor Obra 60%,<p>¡Conquístala con una conmovedora y romántica puesta en escena interpretada por un gran elenco!</p>,2016-10-04 00:00:00,2016-10-09 23:59:00,48226,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33437/90d19c986606c66f27d654a068c7c08e4ec8f825.full.png,15,"teatro,obras",,,,
34,Alejandro Camacho en Extraños en un Tren 3era Temporada 50%,"<p>Descuentos electrizantes que te harán arañar la pared… ¡Pero corre, vuela y acelérate! pues estas ofertas sólo duran 48 horas.

</p>&nbsp;

<p>Sí, leíste bien ¡48 Horas!… Tic, Tac… Tic Tac…<br></p><p>¡Vive el escalofriante regreso del Thriller que le censuraron a Hitchcock!<br></p><p></p>",2016-10-04 00:00:00,2016-10-09 23:59:00,46093,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33439/449df2b64e688f48e3ea4085cd73648a72dcfd23.full.png,68,"teatro,suspenso,boletos",,,,
35,A Reir como Nunca en Como Quieras Perro ÁMAME 60%,"<p>""Como quieras... ¡Perro Ámame!"" es una Historia de Amor contada a través de la Música de tu vida.<br></p>",2016-10-04 00:00:00,2016-10-09 23:59:00,16825,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33440/5c9f301ca1b2ba30af6b066af51570b6c7189d07.full.png,56,"comedia,teatro,boletos",,,,
36,Porque no Hay Amor como el de ella ¡Mamá por Siempre! 60%,<p>¡Emociónate y Ríe en ésta amorosa comedia donde la realidad y la verdad no son lo mismo!</p><p></p>,2016-10-04 00:00:00,2016-10-09 23:59:00,49940,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33441/e0b282d196b07e386fabbdc6521df110cae15e8c.full.png,65,"teatro,boletos,comedia,vip",,,,
37,¡Ahora Foro Lucerna! Juego que Todos Jugamos Jodorowsky 60%,<p>¡Ven a jugar a ser tú y al mismo tiempo no serlo!</p><p></p>,2016-10-04 00:00:00,2016-10-09 23:59:00,87517,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33442/53e840321044520ddcd6a602ea21e25aae406375.full.png,37,"Jodorowsky,teatro,lujan",,,,
38,Dr. Jekyll & Mr. Hyde ¡Musical de Broadway! 50%,<p>¡Vive la lucha entre la razón y el instinto con la Puesta en Escena Jekyll &amp, Hyde!</p><p></p><ul><li>Paga $220 en vez de $440 por Boleto para el Musical de Broadway Dr. Jekyll &amp, Mr. Hyde en Zona Preferente C</li><li>Paga $439 en vez de $880 por Boleto para el Musical de Broadway Dr. Jekyll &amp, Mr. Hyde en Zona VIP</li></ul><p></p>,2016-10-04 00:00:00,2016-10-09 23:59:00,28456,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33444/845ccc063154642f8cd14842d5e9b600ec62880e.full.png,12,,
39,DRACULIN ¡Un Musical de Vampíros muy divertidos! 50%,"<p>¡Un Musical de Vampíros muy divertidos y peculiares!</p><p>Paga $165 en vez de $330 por Boleto para DRACULIN ¡Un Musical Familiar para Morise de Risa! en Zona Preferente C</p><p>Paga $275 en vez de $550 por Boleto para DRACULIN ¡Un Musical Familiar para Morise de Risa! en Zona Preferente C

</p>

<br>",2016-10-04 00:00:00,2016-10-09 23:59:00,88112,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33445/0c8550d5806c2e3a9fba059d3684587257e21b9c.full.png,0,"teatro,musical,dracula",,,,
40,Extractor de jugos ¡Inicia con energía el día!,"<p>Naranja, betabel, zanahoria ¡El sabor que se te ocurra lo podrás preparar con este extraordinario extractor de jugo!</p><p><br></p>",2016-10-04 00:00:00,2016-10-10 23:59:00,43125,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33398/987f9c2ae3358e95220fad47084b5f09a53d28b0.full.jpg,99,"Extractor,Jugos",,,,
41,Televisor MAKENA LED de 42 pulgadas ,"<p>No hay nada como pasar una tarde en casa disfrutando de un buen programa de televisión, descansando de la rutina del trabajo o la escuela.&nbsp;</p><p>Con el televisor MAKENA LED de 42 pulgadas no te perderás ninguno de ellos.</p><br>",2016-10-04 00:00:00,2016-10-10 23:59:00,76462,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33399/8186dda706ba6285acba5095f599ed9d9adabdeb.full.jpg,78,Televisión,,,,
42,Secadora PHILIPS ¡Cabellera de ensueño!,<p>SECADORA PHILIPS 1500 W Mod. HP4935/22</p><p>2000 W</p><p>6 ajustes de velocidad/temperatura</p><p>CoolShot</p><p>Emisión activa de iones</p><p>SECADORA DE CABELLO COMPACTA Mod. HP8103/01</p><p>1400 W</p><p>Secado cuidadoso con 2 ajustes de velocidad flexibles</p><p>Boquilla concentradora estrecha para dirigir el flujo de aire</p><br>,2016-10-04 00:00:00,2016-10-10 23:59:00,69740,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33400/a0b49c252bccbb93625ea016a4302961f1ca89f7.full.jpg,4,"Secadora,Cabello",,,,
43,Cortadora de pelo PHILIPS  ¡Luce un nuevo look!,<p>Consigue un afeitado perfectamente suave sin arañazos ni cortes. Solo tienes que colocar el accesorio para rasurar la cabeza y disfrutar siempre de un acabado perfecto.</p>,2016-10-04 00:00:00,2016-10-10 23:59:00,21999,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33401/7be60d4baed7cd2c923bf4e0bee8d2057086271a.full.jpg,76,"Cortadora,Afeitadora",,,,
44,Cafetera con Jarra de Vidrio Gaia 50%,"Cafetera Gaia, ofrece una calidad excelente, tanto en su diseño como en el café. El espiral Aroma distribuye el café por la jarra para lograr un sabor óptimo en cada taza.",2016-10-04 00:00:00,2016-10-10 23:59:00,30420,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33402/2a4b13d202977bb4ca2e0d33b5366090ccaa0a82.full.png,5,cafetera,,,,
45,Plancha de vapor Oster,"<p>Descuentos electrizantes que te harán arañar la pared… ¡Pero corre, vuela y acelérate! pues estas ofertas sólo duran 48 horas.

</p>&nbsp;

<p>Sí, leíste bien ¡48 Horas!… Tic, Tac… Tic Tac…</p><p><br></p><p>¡Cuida tu presentación, lleva tu ropa planchada a todos los lugares y no dejes que ninguna arruga arruine tu vestimenta!</p><p></p>",2016-10-04 00:00:00,2016-10-10 23:59:00,50076,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33403/a49ba2486a4f092d7ed85ab11d74a1ca81114a37.full.png,20,Plancha,,,,
46,Perfilador Facial Púrpura Philips 37%,"<p>Olvídate de ese vello en la cara, desaparecelo en instantes con la cortadora de precisión Philips y elimina el vello facial que tanto te molesta. Es ideal para llevarla a donde quieras.</p><p><br></p>",2016-10-04 00:00:00,2016-10-10 23:59:00,62759,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33404/935d52626c3837c4b02972e30e3c40aa9c65236a.full.png,42,"perfilador ,rostro",,,,
47,Bocina ¡El mejor volumen para tu música!,"<p>Bocinas estéreo sonido amplificador extra portátil, con un gran sonido para que pueda llevar su música favorita donde quiera que vayas.&nbsp;</p><p>Con diseño ligero, compacto.&nbsp;</p><p>Plug and play con 3,5 mm, compatibles con sus dispositivos de música portátiles.&nbsp;</p><p>Botón de encendido y control de volumen.&nbsp;</p><p>Requiere 3 baterías AAA (no incluidas).&nbsp;</p><p>Se conecta fácilmente a iPod, iPhone y otros dispositivos de audio.</p>",2016-10-04 00:00:00,2016-10-10 23:59:00,31838,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33405/46e83f2b4441db07817740e9b0f525131fb6ab7d.full.jpg,14,"Tecnología,Bocina,Música",,,,
